"","pred","obs","BRCA","HNSC","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"44","HNSC","HNSC",0.264916390180588,0.735083609819412,63,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"45","BRCA","BRCA",0.805601060390472,0.194398939609528,84,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"46","BRCA","BRCA",0.805601060390472,0.194398939609528,94,10,4,0.1,0,0.7,1,0.8,"Fold05.Rep1"
"47","HNSC","HNSC",0.208787456154823,0.791212543845177,19,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"48","HNSC","HNSC",0.200116068124771,0.799883931875229,21,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"49","HNSC","HNSC",0.20853391289711,0.79146608710289,27,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"50","HNSC","HNSC",0.199870407581329,0.800129592418671,47,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"51","HNSC","HNSC",0.199870407581329,0.800129592418671,49,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"52","HNSC","HNSC",0.200116068124771,0.799883931875229,53,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"53","HNSC","HNSC",0.23301362991333,0.76698637008667,66,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"54","HNSC","HNSC",0.208787456154823,0.791212543845177,72,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"55","BRCA","BRCA",0.771323263645172,0.228676736354828,80,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"56","BRCA","BRCA",0.771323263645172,0.228676736354828,91,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"57","HNSC","HNSC",0.233837634325027,0.766162365674973,18,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"58","HNSC","HNSC",0.294642686843872,0.705357313156128,25,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"59","HNSC","HNSC",0.327361315488815,0.672638684511185,44,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"60","HNSC","HNSC",0.243616536259651,0.756383463740349,46,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"61","HNSC","HNSC",0.201776936650276,0.798223063349724,48,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"62","HNSC","HNSC",0.255604118108749,0.744395881891251,57,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"63","HNSC","HNSC",0.214602649211884,0.785397350788116,73,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"64","HNSC","HNSC",0.327361315488815,0.672638684511185,75,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"65","BRCA","BRCA",0.805259823799133,0.194740176200867,88,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"66","BRCA","BRCA",0.785658419132233,0.214341580867767,89,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"67","HNSC","HNSC",0.324440181255341,0.675559818744659,10,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"68","HNSC","HNSC",0.423972755670547,0.576027244329453,20,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"69","HNSC","HNSC",0.382520616054535,0.617479383945465,26,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"70","HNSC","HNSC",0.36070105433464,0.63929894566536,28,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"71","HNSC","HNSC",0.235729560256004,0.764270439743996,30,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"72","HNSC","HNSC",0.268862903118134,0.731137096881866,35,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"73","HNSC","HNSC",0.49936255812645,0.50063744187355,62,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"74","HNSC","HNSC",0.195986613631248,0.804013386368752,68,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"75","BRCA","BRCA",0.773505389690399,0.226494610309601,82,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"76","BRCA","BRCA",0.669811725616455,0.330188274383545,93,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"77","HNSC","HNSC",0.196150422096252,0.803849577903748,5,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"78","HNSC","HNSC",0.216607093811035,0.783392906188965,24,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"79","HNSC","HNSC",0.271868914365768,0.728131085634232,29,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"80","HNSC","HNSC",0.199561223387718,0.800438776612282,34,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"81","BRCA","HNSC",0.652255058288574,0.347744941711426,45,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"82","HNSC","HNSC",0.414081960916519,0.585918039083481,60,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"83","HNSC","HNSC",0.236532226204872,0.763467773795128,74,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"84","HNSC","HNSC",0.242188826203346,0.757811173796654,76,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"85","HNSC","BRCA",0.294116377830505,0.705883622169495,81,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"86","BRCA","BRCA",0.804629385471344,0.195370614528656,87,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"87","HNSC","HNSC",0.210671737790108,0.789328262209892,2,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"88","HNSC","HNSC",0.194670513272285,0.805329486727715,4,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"89","HNSC","HNSC",0.312461793422699,0.687538206577301,9,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"90","HNSC","HNSC",0.327247560024261,0.672752439975739,12,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"91","HNSC","HNSC",0.210671737790108,0.789328262209892,31,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"92","HNSC","HNSC",0.466813147068024,0.533186852931976,52,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"93","HNSC","HNSC",0.329320788383484,0.670679211616516,64,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"94","HNSC","BRCA",0.479761034250259,0.520238965749741,90,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"95","BRCA","BRCA",0.761171936988831,0.238828063011169,92,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
