"","x"
"logLoss",0.336639623928819
"AUC",0.979916897506925
"prAUC",0.911178455516516
"Accuracy",0.947368421052632
"Kappa",0.825174825174825
"F1",0.857142857142857
"Sensitivity",0.789473684210526
"Specificity",0.986842105263158
"Pos_Pred_Value",0.9375
"Neg_Pred_Value",0.949367088607595
"Precision",0.9375
"Recall",0.789473684210526
"Detection_Rate",0.157894736842105
"Balanced_Accuracy",0.888157894736842
