"","x"
"logLoss",0.494448947468579
"AUC",0.99192190506432
"prAUC",0.956066209499265
"Accuracy",0.929032258064516
"Kappa",0.877143680645626
"Mean_F1",0.921725170669572
"Mean_Sensitivity",0.910767113863089
"Mean_Specificity",0.961630036630037
"Mean_Pos_Pred_Value",0.940045409394068
"Mean_Neg_Pred_Value",0.958905876134979
"Mean_Precision",0.940045409394068
"Mean_Recall",0.910767113863089
"Mean_Detection_Rate",0.309677419354839
"Mean_Balanced_Accuracy",0.936198575246563
